,Months,Google Mean,Google Standard Deviation,Tesla Mean,Tesla Standard Deviation,Microsoft Mean,Microsoft Standard Deviation
0,1,0.1651524339914322,0.3410514696723283,0.2973211611509323,0.4172698859896045,0.24034275114536285,0.3885831656721661
1,2,0.16407944464683533,0.3358866594367769,0.2508863316178322,0.3962209715804778,0.23879480183124543,0.3889581438935682
2,3,0.1797414380311966,0.34968854542421235,0.277492336332798,0.4163178039981631,0.22472460514307022,0.3806671257600456
3,4,0.19189715588092804,0.3594736568677031,0.30697888958454134,0.42425276923529504,0.2632204583883285,0.4098694355895783
4,5,0.16158691161870956,0.33573453672820647,0.28923270958662034,0.421777566111011,0.24534287655353545,0.39143227580284495
5,6,0.18225573402643203,0.3509272260110299,0.26670016354322434,0.404021828904933,0.22730617088079452,0.38418410230555655
6,7,0.20368824118375778,0.35841298439124697,0.2787636555433273,0.4114692280563747,0.23565773445367813,0.39157944263969896
7,8,0.19423818564414977,0.36424325833912985,0.3086939607858658,0.42260410923895547,0.25068796104192737,0.3935213567158084
8,9,0.17630684489011764,0.34770949336891305,0.2591023555397987,0.4056460309967506,0.28431410497426984,0.40366600414794174
9,10,0.16433802717924118,0.3342475621636366,0.28456784546375274,0.4099036176279847,0.23496147030591966,0.3902800930415096
10,11,0.204731411755085,0.36762318643389036,0.2852573055028915,0.41596241859391436,0.2613325430750847,0.40837807736285797
